date,zip,temp_c,temp_delta_c,pressure_hpa,pressure_delta_hpa,pressure_swing,precipitation_mm,pm25_ugm3,pollen_index,high_pollen,sunlight_hours,is_school_day,school_break,break_transition,is_holiday,post_dst_window,construction_local,community_event,testing_week
2024-07-01,02115,21.4,10.4,1011.0,-2.0,False,0.3,8.1,63.0,False,11.8,False,True,False,False,False,False,False,False
2024-07-02,02115,24.6,3.2,1007.2,-3.8,False,4.8,10.7,51.5,False,11.4,False,True,False,False,False,False,False,False
2024-07-03,02115,24.1,-0.5,1007.3,0.0,False,2.7,7.4,33.7,False,9.2,False,True,False,False,False,False,False,False
2024-07-04,02115,23.2,-0.9,1005.8,-1.4,False,4.4,4.4,45.0,False,11.6,False,True,False,True,False,False,False,False
2024-07-05,02115,25.6,2.3,1002.8,-3.0,False,0.0,12.7,72.9,False,10.7,False,True,False,False,False,False,False,False
2024-07-06,02115,24.5,-1.1,1004.3,1.5,False,0.0,2.1,84.2,True,12.4,False,True,False,False,False,False,False,False
2024-07-07,02115,17.0,-7.5,1002.5,-1.8,False,3.9,2.0,53.2,False,11.9,False,True,False,False,False,False,False,False
2024-07-08,02115,25.3,8.3,1002.4,-0.1,False,0.0,5.7,33.1,False,8.9,False,True,False,False,False,False,True,False
2024-07-09,02115,20.6,-4.7,998.6,-3.9,False,0.2,6.9,39.0,False,12.4,False,True,False,False,False,True,False,False
2024-07-10,02115,22.7,2.1,1001.6,3.1,False,2.0,6.2,42.4,False,12.0,False,True,False,False,False,False,False,False
2024-07-11,02115,22.6,-0.2,1004.1,2.5,False,0.9,11.6,40.3,False,9.1,False,True,False,False,False,False,False,False
2024-07-12,02115,16.9,-5.6,1001.9,-2.1,False,0.0,5.3,66.8,False,10.2,False,True,False,False,False,False,False,False
2024-07-13,02115,23.2,6.2,1003.4,1.5,False,0.0,7.7,46.8,False,11.8,False,True,False,False,False,False,False,False
2024-07-14,02115,24.2,1.1,1005.1,1.7,False,0.0,3.3,49.5,False,12.0,False,True,False,False,False,False,False,False
2024-07-15,02115,23.1,-1.1,1008.3,3.2,False,0.0,27.5,53.6,False,10.5,False,True,False,False,False,False,False,False
2024-07-16,02115,24.3,1.2,1009.3,1.0,False,0.7,6.2,82.1,True,12.3,False,True,False,False,False,False,False,False
2024-07-17,02115,18.8,-5.5,1012.1,2.8,False,0.0,7.3,58.3,False,10.4,False,True,False,False,False,False,False,False
2024-07-18,02115,23.4,4.5,1013.1,1.0,False,2.7,10.8,43.2,False,9.7,False,True,False,False,False,False,False,False
2024-07-19,02115,25.4,2.0,1015.0,1.9,False,1.8,15.4,28.8,False,10.0,False,True,False,False,False,False,False,False
2024-07-20,02115,18.1,-7.2,1014.1,-0.9,False,0.1,8.6,54.9,False,12.4,False,True,False,False,False,True,False,False
2024-07-21,02115,27.6,9.5,1014.8,0.7,False,0.0,2.7,49.2,False,11.4,False,True,False,False,False,False,False,False
2024-07-22,02115,22.8,-4.8,1017.0,2.2,False,0.0,2.7,50.9,False,8.8,False,True,False,False,False,False,False,False
2024-07-23,02115,20.4,-2.4,1014.5,-2.4,False,7.4,5.8,55.9,False,12.6,False,True,False,False,False,False,False,False
2024-07-24,02115,22.2,1.8,1016.3,1.8,False,1.5,11.6,63.9,False,13.6,False,True,False,False,False,False,False,False
2024-07-25,02115,20.8,-1.4,1016.1,-0.3,False,7.2,2.0,39.0,False,11.1,False,True,False,False,False,False,False,False
2024-07-26,02115,21.4,0.5,1016.5,0.5,False,0.0,25.5,53.8,False,9.8,False,True,False,False,False,False,False,False
2024-07-27,02115,17.8,-3.6,1013.4,-3.1,False,8.8,6.2,44.0,False,12.7,False,True,False,False,False,False,False,False
2024-07-28,02115,23.3,5.5,1014.9,1.5,False,0.0,2.0,46.8,False,13.1,False,True,False,False,False,False,False,False
2024-07-29,02115,22.3,-0.9,1007.7,-7.1,True,0.2,2.2,50.1,False,13.0,False,True,False,False,False,False,False,False
2024-07-30,02115,17.8,-4.5,1008.1,0.4,False,0.6,9.4,54.1,False,11.0,False,True,False,False,False,False,False,False
2024-07-31,02115,21.3,3.5,1004.9,-3.3,False,3.1,12.5,9.8,False,8.8,False,True,False,False,False,False,False,False
2024-08-01,02115,13.9,-7.3,1008.6,3.7,False,0.0,14.2,51.7,False,11.8,False,True,False,False,False,False,False,False
2024-08-02,02115,22.7,8.7,1003.8,-4.7,False,0.0,14.5,40.8,False,12.9,False,True,False,False,False,True,False,False
2024-08-03,02115,17.4,-5.3,1002.3,-1.5,False,0.0,4.4,12.4,False,10.5,False,True,False,False,False,False,False,False
2024-08-04,02115,25.3,7.9,1002.3,0.0,False,1.9,8.1,48.5,False,12.7,False,True,False,False,False,False,False,False
2024-08-05,02115,20.4,-4.9,1001.5,-0.9,False,2.4,26.1,49.8,False,12.5,False,True,False,False,False,False,False,False
2024-08-06,02115,12.0,-8.4,1003.0,1.6,False,14.3,17.5,56.4,False,9.2,False,True,False,False,False,False,False,False
2024-08-07,02115,18.9,6.9,1001.5,-1.5,False,5.3,33.6,56.6,False,11.8,False,True,False,False,False,False,False,False
2024-08-08,02115,12.7,-6.2,1001.0,-0.6,False,0.5,2.8,35.3,False,13.2,False,True,False,False,False,False,False,False
2024-08-09,02115,20.6,7.9,1000.9,-0.1,False,3.8,2.2,45.0,False,10.9,False,True,False,False,False,False,False,False
2024-08-10,02115,23.3,2.7,997.9,-3.0,False,1.5,9.5,60.5,False,12.1,False,True,False,False,False,False,False,False
2024-08-11,02115,20.8,-2.5,994.6,-3.3,False,0.0,6.1,38.0,False,7.2,False,True,False,False,False,True,False,False
